"""ATTENTION! The ECTS credits and ""Basic Science and Engineering"" distribution of the courses may change depending on the semester the course is taken. This list shows the current version. Please check your credits achievements via the degree evaluation form. """
Subject,No,Code,Title,Faculty,First Admit Term,Previous Code,First Admit Term
After 2013-2014 ECTS TOTAL,After 2013-2014ECTS Engineering,After 2013-2014 ECTSBasic Science,Before 2013-2014 ECTS TOTAL,Before 2013-2014 ECTSEngineering,Before 2013-2014 ECTSBasic Science
BIO,301,BIO301,Introduction to Molecular Biology,FENS,7.0,0.0,7.0,-,8,0.0,8.0
BIO,302,BIO302,Techniques in Molecular Bio.,FENS,0.0,0.0,0.0,-,0,0.0,0.0
BIO,303,BIO303,Genetics,FENS,7.0,2.0,5.0,-,6,1.7,4.3
BIO,304,BIO304,Biological Function and Structure,FENS,6.0,1.0,5.0,-,6,1.0,5.0
BIO,306,BIO306,Microbiology,FENS,7.0,0.0,7.0,-,8,0.0,8.0
BIO,308,BIO308,Plant Physiology,FENS,7.0,0.0,7.0,-,6,0.0,6.0
BIO,310,BIO310,Introduction to Bioinformatics,FENS,6.0,0.0,6.0,-,6,0.0,6.0
BIO,321,BIO321,Biochemistry I,FENS,7.0,0.0,7.0,-,8,0.0,8.0
BIO,322,BIO322,Biochemistry II,FENS,5.0,0.0,5.0,-,6,0.0,6.0
BIO,330,BIO330,Environmental Plant Biology,FENS,5.0,0.0,5.0,-,6,0.0,6.0
BIO,332,BIO332,Cell Biology,FENS,7.0,0.0,7.0,-,6,0.0,6.0
BIO,335,BIO335,Analytical Techniques,FENS,6.0,1.0,5.0,-,6,1.0,5.0
BIO,363,BIO363,Ecology,FENS,6.0,0.0,6.0,-,6,0.0,6.0
BIO,366,BIO366,Biophysics: Molecules and Sys.,FENS,0.0,0.0,0.0,-,0,0.0,0.0
BIO,370,BIO370,Mammalian Cell Culture,FENS,7.0,0.0,7.0,-,6,0.0,6.0
BIO,395,BIO395,Internship Project,FENS,5.0,5.0,0.0,-,2.0,2.0,0.0
BIO,401,BIO401,General Biotechnology,FENS,0.0,0.0,0.0,-,0,0.0,0.0
BIO,403,BIO403,Plant Pathology,FENS,5.0,0.0,5.0,-,6,0.0,6.0
BIO,404,BIO404,Plant Biotechnology,FENS,5.0,2.0,3.0,-,6,2.4,3.6
BIO,406,BIO406,Protein Engineering,FENS,6.0,3.0,3.0,-,8,4.0,4.0
BIO,407,BIO407,Multicellular Organization,FENS,5.0,0.0,5.0,-,6,0.0,6.0
BIO,409,BIO409,Mod&Simul.of Biomolecular Proc,FENS,5.0,2.5,2.5,-,6,3.0,3.0
BIO,410,BIO410,Evolution and Ecology,FENS,6.0,0.0,6.0,-,6,0.0,6.0
BIO,415,BIO415,Plant Nutrition,FENS,5.0,0.0,5.0,-,6,0.0,6.0
BIO,421,BIO421,Tissue Engineering,FENS,6.0,6.0,0.0,-,6,6.0,0.0
BIO,423,BIO423,Neurobiology,FENS,6.0,2.0,4.0,-,6,2.0,4.0
BIO,432,BIO432,Analytical Techniques,FENS,6.0,0.0,0.0,-,0,0.0,0.0
BIO,436,BIO436,Cancer Biology,FENS,6.0,2.0,4.0,,6,2.0,4.0
BIO,444,BIO444,Bioengineering,FENS,6.0,4.0,2.0,-,6,4.0,2.0
BIO,445,BIO445,Plant Tissue Culture Techniques,FENS,7.0,3.0,4.0,-,6,2.6,3.4
BIO,446,BIO446,Biology of Aging,FENS,6.0,1.0,5.0,-,6,1.0,5.0
